headlines,description,catagories
Technology : City corporations' responsibility,Technology  highlighting the responsibility of city corporations in managing heatwave risks and ensuring public safety,Health    
Technology : Plan better to reduce power outages,Technology  discussing the need for better planning to reduce rural power outages,Health    
Technology : Punishment of corrupt officials,Technology  discussing the need for stricter punishment of corrupt government officials,Health    
Technology : Holding corporations accountable,Technology  emphasizing the importance of holding corporations accountable for their actions,Health    
Technology : Bangladesh-Qatar relations,Technology  focusing on the importance of ensuring rights and protection of Bangladeshi workers in bilateral discussions,Health    
Views: Social protection,Discussion on the effectiveness of social protection mechanisms in Bangladesh,Health    
Views: Continuity vs stability,Discussion on the stability of a country irrespective of changes in government or leadership,Health    
Views: Economy aid in Bangladesh,Discussion on the status of Economy aid in Bangladesh and the need for improvement,Health    
Views: Traffic deaths responsibility,Discussion on responsibility for traffic deaths and the need for accountability,Health    
Views: Life of a revolutionary dreamer,Reflection on the life and legacy of Sir Fazle Hasan Abed,Health    
In Focus: Sher-e-Bangla convocation,Highlighting a convocation ceremony presided over by Sher-e-Bangla Fazlul Huq,Agriculture
In Focus: Baropakhya Christians,Discussion on the historical incident of repression against Baropakhya Christians in colonial Bengal,Agriculture
In Focus: Freedom fighter’s journey to Mujibnagar,Description of a freedom fighter's journey to Mujibnagar during the Liberation War of 1971,Agriculture
In Focus: Rejecting religious majoritarianism,Discussion on the need to reject religious majoritarianism for Asian resurgence,Agriculture
In Focus: Silencing subaltern voice,Discussion on the suppression of subaltern voices,Agriculture
Letters to the Editor: NHRC response,National Human Rights Commission's response to an Technology  by The Daily Star,Health    
Letters to the Editor: Destruction of Hargazi Canal,Concern over lack of visible changes in the Hargazi Canal area after its destruction,Environment
Views Multimedia: Fire incidents,Discussion on the causes and solutions for frequent fire incidents,Health    
Views Multimedia: Inflation Bangladesh,Analysis of the disparity between public reality and government narrative regarding inflation in Bangladesh,Economy
Incident: Sultana Jasmine's death in Rab custody,Report on the death of Sultana Jasmine in Rab custody and conflicting accounts of the incident,Entertainment
Health    : Establishing a people's state,Discussion on the progress of Bangladesh towards establishing a state different from Pakistan,Politics
Column: Expectations for a good budget,Discussion on the characteristics of a good budget and its allocation priorities,Politics
Column: Intellectual property rights and innovation,Discussion on the role of intellectual property rights in driving innovation and entrepreneurship,Business
Column: Contradiction of comfort,Reflection on the contradiction of comfort in the context of environmental pollution and clean air access,Environment
Column: EU Agriculture and labour rights in Bangladesh,Analysis of EU Agriculture implications for labour rights in Bangladesh and associated challenges,Politics
Column: EVMs and waste of public money,Analysis of the failure of Electronic Voting Machines (EVMs) experiment in Bangladesh,Politics
Column: Priorities before COP29,Discussion on Bangladesh's priorities before COP29 climate Technology  and the need for climate Economy,Environment
Column: Impact of global outrage on Israel-Palestine,Discussion on the potential impact of global outrage on Washington's policy towards Israel,Politics
Column: Role of civil Agriculture in Bangladesh,Analysis of the role and challenges faced by civil Agriculture in challenging power structures in Bangladesh,Agriculture
Column: Decolonising academia,Discussion on decolonial pedagogy and thinking in challenging dominant narratives in academia,Education
Column: Rana Plaza tragedy in 2024,Reflection on the significance and impacts of the Rana Plaza tragedy in Bangladesh in 2024,Agriculture
"Doctors, nurses draw salaries despite being absent in Islampur",Report on healthcare professionals drawing salaries despite being absent in Islampur,Healthcare
DMP uncovers Technical Education Board forgery ring,Report on the discovery of a forgery ring by Dhaka Metropolitan Police involving the Technical Education Board,Entertainment
Familial fiasco in upazila polls: AL policymakers to meet on Tuesday,Article discussing familial issues in upazila polls and AL policymakers' upcoming meeting,Politics
Forced merger of banks in serious doubt,Report questioning the feasibility of forced merger of banks,Business
"Schools, colleges closed across Bangladesh, primary schools until May 2","Announcement of closure of schools and colleges across Bangladesh due to heatwave, with primary schools closed until May 2",Education
The imperative of a hybrid education system,Article discussing the importance of a hybrid education system,Education
School closure: Education Minister irked by High Court order,Report on Education Minister's displeasure with High Court's order for school closure,Education
Transformative change: Idea will be key in fight for climate and wildlife,Article emphasizing the importance of transformative ideas in the fight for climate and wildlife conservation,Environment
Heatwave: 17 regions in Bangladesh see mercury soar above 40°C,Report on the heatwave affecting 17 regions in Bangladesh with temperatures soaring above 40°C,Weather
How to promote the universal pension scheme right -- a first hand experience,Article offering insights on promoting the universal pension scheme through firsthand experience,Economy
Offering tourists a better experience,Article discussing ways to improve the tourist experience,Sports
Roadside tea stalls brought under DMP directive to close by 11pm,Report on the directive by Dhaka Metropolitan Police to close roadside tea stalls by 11pm,Entertainment
Three students fall ill in Barisal school due to excessive heat,Report on three students falling ill in a Barisal school due to excessive heat,Education
China keen to import Bangladeshi mangoes,Report on China's interest in importing Bangladeshi mangoes,Sports
Dhaka warns intl community against developing new weapons,Report on Dhaka's warning to Economy community against developing new weapons,Politics
Farmers harvest Boro paddy in Bogra amid heatwave to avoid rain,Report on farmers harvesting Boro paddy in Bogra amid heatwave to avoid rain,Agriculture
Ensuring access to medicines for all,Article advocating for ensuring access to medicines for all,Healthcare
Dhaka air quality 5th worst in world Tuesday morning,Report on Dhaka's air quality being the 5th worst in the world on Tuesday morning,Environment
Devil in disguise: Health concerns mount over rising tide of fake medicines,Article raising concerns over the rising tide of fake medicines and associated health risks,Healthcare
At least 25 dead in Peru after bus plunges into ravine,Report on a bus Entertainment in Peru resulting in at least 25 deaths,Entertainment
Dhaka air quality 5th worst in world Tuesday morning,"Report on Dhaka's air quality being the 5th worst in the world on Tuesday morning, with an AQI score of 159",Environment
Devil in disguise: Health concerns mount over rising tide of fake medicines,"Article raising concerns over the rising tide of fake medicines, highlighting the harm to public health and demands for action",Healthcare
"Doctors, nurses draw salaries despite being absent in Islampur","Report on doctors and nurses drawing salaries despite being absent in Islampur, leading to a shortage of medical staff",Healthcare
5 dead in bus-ambulance collision in Cox's Bazar,Report on a collision between a bus and an ambulance in Cox's Bazar resulting in 5 deaths and 10 injuries,Entertainment
DMP uncovers Technical Education Board forgery ring,Report on the discovery of a forgery ring by Dhaka Metropolitan Police involving the Technical Education Board,Entertainment
"2 die of heatstroke in Cox's Bazar, Thakurgaon",Report on 2 deaths due to heatstroke in Cox's Bazar and Thakurgaon amid the ongoing heatwave,Weather
Buet students call for suspension of students arrested from Tanguar Haor,Report on Buet students calling for the suspension of students arrested from Tanguar Haor amidst protests,Education
"6,000 tons mangoes ripened with chemicals destroyed","Report on the destruction of 6,000 tons of chemically ripened mangoes to ensure food safety and quality",Agriculture
Dewan Ayub becomes acting high commissioner in Canada,Announcement of Dewan Hossne Ayub becoming the acting high commissioner of Bangladesh in Canada,Diplomacy
School closure: Education Minister irked by High Court order,Report on Education Minister's displeasure with High Court's order for school closure,Education
Roadside tea stalls brought under DMP directive to close by 11pm,Report on the directive by Dhaka Metropolitan Police to close roadside tea stalls by 11pm,Entertainment
China keen to import Bangladeshi mangoes,"Report on China's interest in importing Bangladeshi mangoes, highlighting Sports opportunities",Sports
Fakhrul: Awami League aims to perpetuate power through climate of fear,Statement by BNP Secretary General Mirza Fakhrul Islam Alamgir accusing Awami League of perpetuating power through fear,Politics
Farmers harvest Boro paddy in Bogra amid heatwave to avoid rain,Report on farmers harvesting Boro paddy in Bogra amid heatwave to avoid rain,Agriculture
Saber: Environmental conservation topics are being included in textbooks,Statement by Environment Minister Saber Hossain Chowdhury on the inclusion of environmental topics in textbooks,Education
Three students fall ill in Barisal school due to excessive heat,Report on three students falling ill in a Barisal school due to excessive heat,Education
Heatwave: 17 regions in Bangladesh see mercury soar above 40°C,Report on the heatwave affecting 17 regions in Bangladesh with temperatures soaring above 40°C,Weather
Expert: 70% deaths from non-communicable diseases in Bangladesh,Expert Health     highlighting that 70% of deaths in Bangladesh are due to non-communicable diseases,Healthcare
Power Division issues guidelines to ensure uninterrupted power amid heatwave,Report on Power Division issuing guidelines to ensure uninterrupted power supply during the heatwave,Utilities
Austria offers to take skilled workers from Bangladesh,Announcement of Austria offering to take skilled workers from Bangladesh as part of bilateral cooperation,Diplomacy
Familial fiasco in upazila polls: AL policymakers to meet on Tuesday,Article discussing familial issues in upazila polls and AL policymakers' upcoming meeting,Politics
IUBAT paves way for Palestinian women in higher education with special scholarships,Report on IUBAT offering special scholarships to Palestinian women for higher education,Education
"Gold price drops by Tk8,176 in 10 days","Report on the drop in gold price by Tk8,176 over a period of 10 days",Economy
Northern University Bangladesh holds business festival,Report on Northern University Bangladesh holding a business festival to promote entrepreneurship,Education
"Schools, colleges closed across Bangladesh, primary schools until May 2","Announcement of closure of schools and colleges across Bangladesh due to heatwave, with primary schools closed until May 2",Education
Charges pressed against Pinaki Bhattacharya in DSA case,Pinaki Bhattacharya faces charges in the DSA case,Entertainment
PM returns home Monday after six-day Thailand visit,Prime Minister Sheikh Hasina returns from Thailand after a six-day visit,Entertainment
Heat alert extended for 3 days,Heat alert extended for an additional three days,Weather
Bandarban passengers suffer as long-distance bus services halted,Passengers in Bandarban face difficulties due to halted long-distance bus services,Business
First Hajj flight on May 9,The first Hajj flight is scheduled for May 9,Entertainment
Narayanganj seven murders: Relatives still await execution of verdict,Relatives of the victims in the Narayanganj murder case await the execution of the verdict,"Entertainment, Justice"
Dhaka air unhealthy amid heatwave,Air quality in Dhaka remains unhealthy amidst the ongoing heatwave,"Environment, Health"
Kushtia farmers brace for production debacle,Farmers in Kushtia prepare for a potential decline in production amidst the heatwave,Agriculture
What's behind the juvenile rape epidemic?,Analysis of the factors contributing to the juvenile rape epidemic,"Entertainment, Social Issues"
The show must go on,Article discussing the importance of continuing activities despite challenges,Health    
Rain brings relief to Sylhet residents,Rainfall provides relief to residents of Sylhet amidst the heatwave,Weather
Carnival of Change 2024: A celebration of innovation and empowerment,"Coverage of the ""Carnival of Change 2024"" event focusing on innovation and empowerment",Entertainment
Bangladesh envoy to UK wins Diplomat of the Year Award,Bangladesh High Commissioner to the UK receives the Diplomat of the Year Award,Diplomacy
GM Quader: Pressure created on JaPa to take part in national polls,Jatiya Party Chairman GM Quader comments on pressure to participate in national polls,Politics
MV Abdullah to leave Dubai for Chittagong Sunday,MV Abdullah to depart from Dubai to Chittagong on Sunday,Business
EC: Voting centres where fake votes are cast will be shut immediately,Election Commission vows to shut down voting centers involved in casting fake votes immediately,Politics
Colleges under National University to resume classes from Sunday,Colleges affiliated with the National University to resume classes amidst the heatwave,Education
"Scammers target Fitra, Zakat donations via mobile banking",Scammers exploit mobile banking for Fitra and Zakat donation fraud,Entertainment
CTTC: 3 BNP men arrested over arson attack on Asim Paribahan bus,Three BNP members arrested in connection with an arson attack on an Asim Paribahan bus,"Entertainment, Politics"
Economy Technology  of pathology doctors begins in Dhaka,Coverage of the start of an Economy Technology  for pathology doctors in Dhaka,Healthcare
Sportsrs count loss as stored potatoes rotting amid heatwave,Sportsrs suffer losses as stored potatoes begin to rot due to the heatwave,"Agriculture, Business"
EC fears low voter turnout due to heatwave,Election Commission expresses concern over potential low voter turnout due to the heatwave,Politics
48-hour transport strike in Chittagong from Sunday,Transport workers announce a 48-hour strike in Chittagong starting from Sunday,Business
7 injured in Jessore Central Jail clash,Seven individuals injured in a clash at Jessore Central Jail,Entertainment
Gold price drops again,Gold prices experience a decline again,Business
400kg chemically-ripened mangoes destroyed in Satkhira,Chemically-ripened mangoes destroyed in Satkhira to ensure food safety,"Agriculture, Health"
IFFM: Filmmaker Noman becomes festival programmer,Filmmaker Noman Robin appointed as a festival programmer at IFFM,"Arts, Entertainment"
Economy Standard University signs MoU with BWAB,Economy Standard University signs MoU with Bankers' Welfare Association Bangladesh,"Education, Business"
Quader: BNP acts as slave of foreign lords to assume power,Obaidul Quader comments on BNP's role in seeking power,Politics
Mother along child jumps under train in Chandpur giving Facebook post,"Report on a tragic incident where a mother and child jumped under a train, mentioned in a Facebook post",Tragedy
"Dhaka South City Corporation (DSCC) Mayor Sheikh Fazle Noor Taposh inaugurating renovation works of Dr Kazi Bashir Auditorium in the capital's Gulistan on Wednesday, April 24, 2024. Photo: UNB",Mayor Taposh inaugurates renovation works at Dr Kazi Bashir Auditorium,Entertainment
DSHE likely to take new decision for educational institutions,Department of Secondary and Higher Education likely to make new decisions for educational institutions,Education
64 BNP leaders served show cause notices for contesting upazila polls,64 BNP leaders served show cause notices for contesting upazila polls,Politics
Met office: Heatwave likely to spread over more areas,Meteorological office warns heatwave likely to spread over more areas,Weather
Intense heat causes surge in snake bites,Surge in snake bites attributed to intense heat,Environment
Farmer dies of heat stroke in Chittagong,Farmer succumbs to heat stroke in Chittagong,Environment
RAB: 4 arrested with 60C worth of fake snake venom,RAB arrests 4 with fake snake venom worth 60C,Entertainment
IATA: Bangladesh blocking over $323m of airline revenues,Bangladesh blocking over $323m of airline revenues: IATA,Business
9 killed as truck plunges into ditch in Rangamati,9 killed as truck plunges into ditch in Rangamati,Entertainment
Mongla records highest temperature at 41.6°C,Mongla records highest temperature at 41.6°C,Weather
19 senior political leaders complete Democracy Economy’s fellowship program,19 senior political leaders complete Democracy Economy’s fellowship program,Politics
EC Anisur: Irregularities in upazila elections to be dealt strictly,EC Anisur vows to deal strictly with irregularities in upazila elections,Politics
4 injured in clash over establishing supremacy in Shariatpur,4 injured in clash over establishing supremacy in Shariatpur,Conflict
Minister: Bangladesh‘s Hajj management will be smarter,Minister: Bangladesh‘s Hajj management will be smarter,Government
Nanak: Govt to form jute council,Govt to form jute council for better management of the jute industry,Government
Price of watermelon surges again amid heatwave,Price of watermelon surges again amid heatwave,Economy
Bullets fired towards trucks on Thanchi border road,Bullets fired towards trucks on Thanchi border road,Conflict
"DDM, UNOPS ink deal to enhance Agriculture preparedness in Bangladesh",DDM and UNOPS sign deal to enhance Agriculture preparedness in Bangladesh,Agriculture Relief
EC Alamgir: MPs not to be allowed to participate in upazila polls campaign,EC Alamgir: MPs not to be allowed to participate in upazila polls campaign,Politics
11 years of Rana Plaza: Victims still in agony as demands yet to be fulfilled,11 years of Rana Plaza: Victims still in agony as demands yet to be fulfilled,Tragedy
What steps are being taken to prevent bank robbery?,Article discussing steps taken to prevent bank robbery,Security
Jubo League leader sent to jail in Chittagong journo assault case,Jubo League leader sent to jail in Chittagong journo assault case,Entertainment
Madrasa teacher jailed for attempted rape of minor,Madrasa teacher jailed for attempted rape of minor,Entertainment
"DNCC sprinkling 400,000 litres of water on road daily to reduce heat","DNCC sprinkling 400,000 litres of water on road daily to reduce heat",Entertainment
Two farmers die from heat stroke in Nilphamari,Two farmers die from heat stroke in Nilphamari,Environment
Gold price drops again within 24hrs,Gold price drops again within 24hrs,Economy
Uber issues statement after refusal to comment sparks controversy,Uber issues statement after refusal to comment sparks controversy,Business
What do we know about Dhaka’s first chief heat officer?,Article discussing the first chief heat officer of Dhaka,Government
Supreme Court gets 3 new judges,Supreme Court gets 3 new judges,Judiciary
Unicef: Children face extremely high risk in Bangladesh’s scorching heatwave,Unicef warns children face extremely high risk in Bangladesh’s scorching heatwave,Child Welfare
"AIUB holds signing, cheque handing over ceremony for researchers","AIUB holds signing, cheque handing over ceremony for researchers",Education
High Court wants list of Rohingyas registered as voters in Cox’s Bazar,High Court wants list of Rohingyas registered as voters in Cox’s Bazar,Judiciary
173 Bangladeshis return from Myanmar after serving time in prison,173 Bangladeshis return from Myanmar after serving time in prison,Human Rights
Upazila polls: Quader warns of action against violators of party decision,Upazila polls: Quader warns of action against violators of party decision,Politics
Street vendors in peril as heatwave hammers sales,Street vendors in peril as heatwave hammers sales,Economy
Thailand rolls out the red carpet for PM Hasina,Thailand rolls out the red carpet for PM Hasina,Diplomacy
Commander Arafat becomes new RAB spokesperson,Commander Arafat becomes new RAB spokesperson,Security
"3 shops fined Tk55,000 for selling fans at high price",Three shops in Rifle Club area fined for selling fans at high prices,Business
KNF armed wing member killed in raid in Bandarban,Report on the killing of a KNF armed wing member in a raid in Bandarban,Entertainment
"Heatwave: Wasa, police to provide drinking water",Announcement of plans by Wasa and police to provide drinking water during the heatwave,Weather
130 joint secretaries promoted to additional secretaries,Politics   about the promotion of 130 joint secretaries to additional secretaries,Entertainment
Youth dies of heatstroke in Chittagong,Report on the death of a youth due to heatstroke in Chittagong,Health
Heatwave: Farmer dies of heatstroke in Rajshahi,Report on the death of a farmer due to heatstroke in Rajshahi,Health
DC’s vehicle comes under attack in Panchagarh,Report on an attack on the Deputy Commissioner's vehicle in Panchagarh,Security
BNP postpones Friday rally due to heatwave,Announcement of the postponement of a BNP rally due to the heatwave,Politics
Ongoing heatwave gives rise to health issues as Khulna swelters,Report on health issues arising from the ongoing heatwave in Khulna,Health
Bapex discovers gas in Noakhali’s Sonaimuri,Report on the discovery of gas by Bapex in Noakhali's Sonaimuri,Energy
Heatwave: Barisal University announces online classes,Announcement of Barisal University's decision to conduct online classes due to the heatwave,Education
15 journalists receive Meena Media Awards,Report on 15 journalists receiving the Meena Media Awards,Media
Saber: Bangladesh pledges to create resilient world for all,"Statement by Minister of Environment, Forest and Climate Change on Bangladesh's commitment to create a resilient world",Environment
Train fares may increase from May 4,Report on the potential increase in train fares from May 4,Sports
Bangladesh rolls out red carpet as Qatar Emir arrives in Dhaka,Report on Bangladesh's warm reception of Qatar Emir's arrival in Dhaka,Diplomacy
Fake certificate syndicate: Technical education board chairman removed from office,Report on the removal of the Technical Education Board chairman from office due to involvement in a fake certificate syndicate,Education
High Court issues rule nisi to formulate guidelines on guardianship rights,Report on High Court issuing a rule nisi to formulate guidelines on guardianship rights,Agriculture
"Heatwave drives up costs for charger fans, umbrellas",Report on the increase in costs for charger fans and umbrellas due to the heatwave,Business
Money Embezzlement Case: High Court issues rule on bail of Major Mannan and 6 others,Report on High Court issuing a rule on bail for Major Mannan and 6 others in a money embezzlement case,Agriculture
Yao Wen: China interested in investing more in Bangladesh,Statement by Chinese Ambassador expressing interest in investing more in Bangladesh,Economy
Prof Anu Muhammad shifted to national burn institute for better treatment,Report on Prof Anu Muhammad being shifted to a national burn institute for better treatment following a train Entertainment,Health
Southeast University Bangladesh signs MoU with Universiti Kebangsaan Malaysia,Report on Southeast University Bangladesh signing an MoU with Universiti Kebangsaan Malaysia,Education
ACC forms inquiry committee to investigate ex-IGP Benazir,Report on ACC forming an inquiry committee to investigate former IGP Benazir,Entertainment
DU student drowns in university swimming pool,Report on a Dhaka University student drowning in the university swimming pool,Entertainment
"Mayor Atiqul: Jail, fine if Aedes larvae found in houses, offices from April 27",Statement by Mayor Atiqul imposing jail or fine if Aedes larvae found in houses or offices from April 27,Health
FM: PM Hasina's Thailand visit aims to boost cooperation,Statement by Foreign Minister regarding Prime Minister Hasina's visit to Thailand aiming to boost cooperation,Diplomacy
"Bus driver’s drowsiness, speeding killed 15 people in Faridpur crash",Report on a bus Entertainment in Faridpur resulting in 15 deaths due to the driver's drowsiness and speeding,Entertainment
Bangladeshi youth killed in BSF firing along Brahmanbaria border,Report on a Bangladeshi youth killed in BSF firing along the Brahmanbaria border,Security
PM Hasina: Need to boost adaptive capacity to build safe world,Statement by Prime Minister Hasina emphasizing the need to boost adaptive capacity to build a safe world,Governa
Cox's Bazar road crash: Death toll rises to 5,Five people are reported dead as a result of a road Entertainment in Cox's Bazar.,Entertainment
Sujon thinks Jessy isn't experienced enough to officiate DPL matches,Bangladesh Cricket Board (BCB) director Khaled Mahmud Sujon expresses doubt about Jessy's experience in officiating Dhaka Premier League (DPL) matches.,Sports
Forty-day ceasefire offered to Hamas: UK foreign secretary,"The UK foreign secretary announces a forty-day ceasefire proposal to Hamas, indicating a diplomatic effort for peace in the region.",Economy
Journalist Ziaul Haque passes away,"Ziaul Haque, a journalist, is reported to have passed away.",Obituary
Ex-banker jailed for 26 years in graft case,A former banker has been sentenced to 26 years in prison for involvement in a corruption case.,Economy
Three killed in bus-microbus collision in Cox's Bazar,Three individuals lost their lives in a collision between a bus and a microbus in Cox's Bazar.,Entertainment
Hamas delegation due in Egypt for Gaza truce talks,A Hamas delegation is scheduled to visit Egypt for discussions on a ceasefire agreement concerning Gaza.,Economy
Formulate policy for transfer of private institution teachers: HC,The High Court orders the formulation of a policy regarding the transfer of teachers in private institutions.,Education
Chuadanga records highest temperature at 43°C,The temperature in Chuadanga reaches a record high of 43 degrees Celsius.,Weather
"Gold price drops again by Tk 1,155 per bhori","The price of gold experiences a decrease of Tk 1,155 per bhori.",Business
Myanmar records hottest ever April temperature of 48.2C,"Myanmar reports its highest-ever April temperature, reaching 48.2 degrees Celsius.",Weather
"7 get life term jail for abducting, killing schoolboy in Gazipur",Seven individuals receive life imprisonment for their involvement in the abduction and murder of a schoolboy in Gazipur.,Economy
Roadside tea shops to be closed after 11pm,The authorities announce the closure of roadside tea shops after 11 pm.,Business
Four injured in house explosion in Bogura,An explosion in a house in Bogura results in injuries to four individuals.,Entertainment
Dubai announces $35bn construction of world’s largest airport terminal,"Dubai announces plans for the construction of the world's largest airport terminal, with an investment of $35 billion.",Business
Two school students drown in Chapainawabganj,"Two school students drown in Chapainawabganj, highlighting the need for improved safety measures near water bodies.",Entertainment
"Israel kills 20 Palestinians in Rafah, new Gaza ceasefire talks expected in Cairo","Israel's military action results in the death of 20 Palestinians in Rafah, leading to anticipation of new ceasefire discussions in Cairo.",Economy
"Mexico bus crash leaves 14 dead, 31 injured",A bus crash in Mexico claims the lives of 14 individuals and leaves 31 others injured.,Entertainment
Govt plans Tk 2000bl investment in communication for next 2 fiscals,The government announces plans for a Tk 2000 billion investment in communication International over the next two fiscal years.,Business
"Driver, helper killed as tractor overturns in Madaripur","A tractor overturns in Madaripur, resulting in the death of the driver and helper.",Entertainment
"MV Abdullah, with 23 crew on board, leaves UAE for home","MV Abdullah, a Bangladeshi ship with 23 crew members onboard, departs from the UAE to return home.",Economy
"Austria offers to take Bangladeshi skilled workers, invest in green energy",Austria expresses interest in accepting Bangladeshi skilled workers and investing in green energy projects.,Economy
Primary schools to remain shut till May 2 due to heatwave,Primary schools will remain closed until May 2 due to the ongoing heatwave.,Education
Stop hiking medicine prices whimsically: HC,The High Court orders the authorities to refrain from arbitrarily increasing medicine prices.,Economy
Israeli strikes kill 40 Palestinians in Gaza,Israeli airstrikes killed dozens of Palestinians on Monday as Hamas leaders visited Cairo for a new round of truce talks.,Economy
